level0,level1,level2,level3a,domain,comments
blk walnut,blk walnut,Black walnut,Walnut,Illinois v2.0,
blk. jack,blk. jack,Blackjack oak,Oak,Illinois v2.0,
blk. oak,blk. oak,Black/burr oak,Oak,Illinois v2.0,
blue ash,blue ash,Blue ash,Ash,Illinois v2.0,
bo,bo,Black/burr oak,Oak,Illinois v2.0,
bo bush,bo bush,Oak,Oak,Illinois v2.0,
bo.,bo.,Oak,Oak,Illinois v2.0,
boak,boak,Black/burr oak,Oak,Illinois v2.0,
bottom tree,bottom tree,Unknown tree,Unknown tree,Illinois v2.0,
box alder,box alder,Maple,Maple,Illinois v2.0,
box elder,box elder,Box elder,Maple,Illinois v2.0,
boxelder,boxelder,Box elder,Maple,Illinois v2.0,
br oak,br oak,Burr oak,Oak,Illinois v2.0,
bu[r] oak,bu[r] oak,Burr oak,Oak,Illinois v2.0,
buc-eye,buc-eye,Buckeye,Buckeye,Illinois v2.0,
buck eye,buck eye,Buckeye,Buckeye,Illinois v2.0,
buckeye,buckeye,Buckeye,Buckeye,Illinois v2.0,
bur,bur,Burr oak,Oak,Illinois v2.0,
bur o,bur o,Burr oak,Oak,Illinois v2.0,
bur oak,bur oak,Burr oak,Oak,Illinois v2.0,
burch,burch,Birch,Birch,Illinois v2.0,
burr,burr,Burr oak,Oak,Illinois v2.0,
burr  oak,burr  oak,Burr oak,Oak,Illinois v2.0,
burr o,burr o,Burr oak,Oak,Illinois v2.0,
burr o.,burr o.,Burr oak,Oak,Illinois v2.0,
burr oak,burr oak,Burr oak,Oak,Illinois v2.0,
burr oke,burr oke,Burr oak,Oak,Illinois v2.0,
butter nut,butter nut,Walnut,Walnut,Illinois v2.0,
butternut,butternut,Butternut,Walnut,Illinois v2.0,
button wood,button wood,Sycamore,Sycamore,Illinois v2.0,
buttonwood,buttonwood,Sycamore,Sycamore,Illinois v2.0,
bw,bw,Black walnut,Walnut,Illinois v2.0,
bwalnut,bwalnut,Black walnut,Walnut,Illinois v2.0,JP checked notes. This is what was written
c oak,c oak,Chestnut oak,Oak,Illinois v2.0,CVC I am almost  certain this is chestnut oak
cedar,cedar,Cedar,Cedar/juniper,Illinois v2.0,
cherritree,cherritree,Cherry,Cherry,Illinois v2.0,
cherry,cherry,Cherry,Cherry,Illinois v2.0,
cherry tree,cherry tree,Cherry,Cherry,Illinois v2.0,
cherrytree,cherrytree,Cherry,Cherry,Illinois v2.0,
chesn oak,chesn oak,Chestnut oak,Oak,Illinois v2.0,
chesnut oak,chesnut oak,Chestnut oak,Oak,Illinois v2.0,
chirry tree,chirry tree,Cherry,Cherry,Illinois v2.0,
coffee,coffee,Kentucky coffee tree,Other hardwood,Illinois v2.0,
coffee bean,coffee bean,Kentucky coffee tree,Other hardwood,Illinois v2.0,
coffee nut,coffee nut,Kentucky coffee tree,Other hardwood,Illinois v2.0,
coffeenut,coffeenut,Kentucky coffee tree,Other hardwood,Illinois v2.0,
coffenut,coffenut,Kentucky coffee tree,Other hardwood,Illinois v2.0,
cotenwood,cotenwood,Cottonwood,Poplar,Illinois v2.0,
coten-wood,coten-wood,Cottonwood,Poplar,Illinois v2.0,
coton wood,coton wood,Cottonwood,Poplar,Illinois v2.0,
cotonwood,cotonwood,Cottonwood,Poplar,Illinois v2.0,
cottenwood,cottenwood,Cottonwood,Poplar,Illinois v2.0,
cotton,cotton,Cottonwood,Poplar,Illinois v2.0,
cotton tree,cotton tree,Cottonwood,Poplar,Illinois v2.0,CVC pretty sure this is cottonwood
cotton wood,cotton wood,Cottonwood,Poplar,Illinois v2.0,
cotton wood tree,cotton wood tree,Cottonwood,Poplar,Illinois v2.0,
cottonwood,cottonwood,Cottonwood,Poplar,Illinois v2.0,
crab,crab,Other hardwood,Other hardwood,Illinois v2.0,
crab app,crab app,Other hardwood,Other hardwood,Illinois v2.0,
crab apple,crab apple,Crab apple,Other hardwood,Illinois v2.0,
crab apple tree,crab apple tree,Other hardwood,Other hardwood,Illinois v2.0,
crab tree,crab tree,Other hardwood,Other hardwood,Illinois v2.0,
crabapple,crabapple,Other hardwood,Other hardwood,Illinois v2.0,
crabbtree,crabbtree,Other hardwood,Other hardwood,Illinois v2.0,
cucumber,cucumber,Other hardwood,Other hardwood,Illinois v2.0,
cup oak,cup oak,Overcup oak,Oak,Illinois v2.0,
cypress,cypress,Bald cypress,Bald cypress,Illinois v2.0,CVC this is truly bald cypress if in southern IL; JP double checked - all of these are from southern IL. So bald cypress
cypress tree,cypress tree,Cypress,Bald cypress,Illinois v2.0,
d wood,d wood,Dogwood,Dogwood,Illinois v2.0,
d. wood,d. wood,Dogwood,Dogwood,Illinois v2.0,
dgw,dgw,Dogwood,Dogwood,Illinois v2.0,
dgwd,dgwd,Dogwood,Dogwood,Illinois v2.0,
dgwood,dgwood,Dogwood,Dogwood,Illinois v2.0,
dogw,dogw,Dogwood,Dogwood,Illinois v2.0,
dogwd,dogwd,Dogwood,Dogwood,Illinois v2.0,
dogwod,dogwod,Dogwood,Dogwood,Illinois v2.0,
dogwood,dogwood,Dogwood,Dogwood,Illinois v2.0,
double b jack,double b jack,Blackjack oak,Oak,Illinois v2.0,
double b oak,double b oak,Oak,Oak,Illinois v2.0,
double black oak,double black oak,Black oak,Oak,Illinois v2.0,
double bur oak,double bur oak,Burr oak,Oak,Illinois v2.0,
double burr oak,double burr oak,Burr oak,Oak,Illinois v2.0,
double hickory,double hickory,Hickory,Hickory,Illinois v2.0,
double lin tree,double lin tree,Basswood,Basswood,Illinois v2.0,
double oak,double oak,Oak,Oak,Illinois v2.0,
double pin oak,double pin oak,Pin oak,Oak,Illinois v2.0,
double w oak,double w oak,White oak,Oak,Illinois v2.0,
double white oak,double white oak,White oak,Oak,Illinois v2.0,
double wo,double wo,White oak,Oak,Illinois v2.0,
dwd,dwd,Dogwood,Dogwood,Illinois v2.0,
dwood,dwood,Dogwood,Dogwood,Illinois v2.0,
elder,elder,Box elder,Maple,Illinois v2.0,Can we check?  Is this Maple then? CVC very likely Box elder level 2  = Maple at level 3a.  Some possibility is shrub elder berry (Sambucus). JP - double checked, it is written clearly Elder and ditto, so like Charlie, I think it is likely box elder at level 2 and Maple at level 3a
elleim,elleim,Elm,Elm,Illinois v2.0,
ellem,ellem,Elm,Elm,Illinois v2.0,
ellim,ellim,Elm,Elm,Illinois v2.0,
ellum,ellum,Elm,Elm,Illinois v2.0,
elm,elm,Elm,Elm,Illinois v2.0,
Elm,Elm,Elm,Elm,Illinois v2.0,
elm sapling,elm sapling,Elm,Elm,Illinois v2.0,
elm tree,elm tree,Elm,Elm,Illinois v2.0,
elmn,elmn,Elm,Elm,Illinois v2.0,
forked ash,forked ash,Ash,Ash,Illinois v2.0,
forked b oak,forked b oak,Black/burr oak,Oak,Illinois v2.0,
forked black oak,forked black oak,Black oak,Oak,Illinois v2.0,
forked bo,forked bo,Oak,Oak,Illinois v2.0,
forked bur oak,forked bur oak,Burr oak,Oak,Illinois v2.0,
forked burr oak,forked burr oak,Burr oak,Oak,Illinois v2.0,
forked hickory,forked hickory,Hickory,Hickory,Illinois v2.0,
forked lynn,forked lynn,Lynn,Basswood,Illinois v2.0,
forked maple,forked maple,Maple,Maple,Illinois v2.0,
forked pin oak,forked pin oak,Pin Oak,Oak,Illinois v2.0,
forked w oak,forked w oak,White oak,Oak,Illinois v2.0,
forked white oak,forked white oak,White oak,Oak,Illinois v2.0,
forked wo,forked wo,White oak,Oak,Illinois v2.0,
g oak,g oak,Oak,Oak,Illinois v2.0,
gum,gum,Black gum/sweet gum,Black gum/sweet gum,Illinois v2.0,
gumb,gumb,Black gum/sweet gum,Black gum/sweet gum,Illinois v2.0,
h,h,Hickory,Hickory,Illinois v2.0,
h locus,h locus,Locust,Locust,Illinois v2.0,
h locust,h locust,Locust,Locust,Illinois v2.0,
h sours,h sours,Unknown tree,Unknown tree,Illinois v2.0,
h. locus,h. locus,Locust,Locust,Illinois v2.0,
h. locust,h. locust,Honey locust,Locust,Illinois v2.0,
h. saures,h. saures,Unknown tree,Unknown tree,Illinois v2.0,
hack,hack,Hackberry,Hackberry,Illinois v2.0,
hack berry,hack berry,Hackberry,Hackberry,Illinois v2.0,
hack berry tree,hack berry tree,Hackberry,Hackberry,Illinois v2.0,
hack bery,hack bery,Hackberry,Hackberry,Illinois v2.0,
hackberry,hackberry,Hackberry,Hackberry,Illinois v2.0,
hackberry tree,hackberry tree,Hackberry,Hackberry,Illinois v2.0,
hackbery,hackbery,Hackberry,Hackberry,Illinois v2.0,
hackbry,hackbry,Hackberry,Hackberry,Illinois v2.0,
hackby,hackby,Hackberry,Hackberry,Illinois v2.0,
hard maple,hard maple,Maple,Maple,Illinois v2.0,
hardhack,hardhack,Ironwood,Ironwood,Illinois v2.0,
haw,haw,Hawthorn,Other hardwood,Illinois v2.0,CVC all the haws (red, black and possibly white thorn) are possibly the same as thorn = hawthorn (Crataegus) or at level 2 Haw.  To level 3a probably becomes Rose tree, but note the some shrub Viburnums were called black haw.  
haw tree,haw tree,Other hardwood,Other hardwood,Illinois v2.0,
hawthorn,hawthorn,Hawthorn,Other hardwood,Illinois v2.0,
hby,hby,Hackberry,Hackberry,Illinois v2.0,
hcko,hcko,Hickory,Hickory,Illinois v2.0,
hcok,hcok,Hickory,Hickory,Illinois v2.0,
hcy,hcy,Hickory,Hickory,Illinois v2.0,
hic,hic,Hickory,Hickory,Illinois v2.0,
hick,hick,Hickory,Hickory,Illinois v2.0,
hickery,hickery,Hickory,Hickory,Illinois v2.0,
hickey,hickey,Hickory,Hickory,Illinois v2.0,
hickiry,hickiry,Hickory,Hickory,Illinois v2.0,
hickoey,hickoey,Hickory,Hickory,Illinois v2.0,
hickory,hickory,Hickory,Hickory,Illinois v2.0,
Hickory,Hickory,Hickory,Hickory,Illinois v2.0,
Hickory,Hickory,Hickory,Hickory,Illinois v2.0,
hickory bush,hickory bush,Hickory,Hickory,Illinois v2.0,
hickory sapling,hickory sapling,Hickory,Hickory,Illinois v2.0,
hickoy,hickoy,Hickory,Hickory,Illinois v2.0,
hickr,hickr,Hickory,Hickory,Illinois v2.0,
hickroy,hickroy,Hickory,Hickory,Illinois v2.0,
hickry,hickry,Hickory,Hickory,Illinois v2.0,
hicky,hicky,Hickory,Hickory,Illinois v2.0,
hicory,hicory,Hickory,Hickory,Illinois v2.0,
hicy,hicy,Hickory,Hickory,Illinois v2.0,
hikery,hikery,Hickory,Hickory,Illinois v2.0,
hikory,hikory,Hickory,Hickory,Illinois v2.0,
hiky,hiky,Hickory,Hickory,Illinois v2.0,
hiy,hiy,Hickory,Hickory,Illinois v2.0,
hkry,hkry,Hickory,Hickory,Illinois v2.0,
hky,hky,Hickory,Hickory,Illinois v2.0,
hky.,hky.,Hickory,Hickory,Illinois v2.0,
hon sours,hon sours,Unknown tree,Unknown tree,Illinois v2.0,
honey locis,honey locis,Honey locust,Locust,Illinois v2.0,
honey locus,honey locus,Honey locust,Locust,Illinois v2.0,CVC definitely honey locust, which might be lumped at level 3a as locust (together with black locust) These are 2 genera, but both go by the common name locust.  In thorn would be white thorn or thorn apple = Hawthorn and into 3a Rose tree.  There is a possibliity that honey locust would be called thorn, but that is a problem with thorn not here with honey locust.  JP chnaged Level 2 from Thorn tree to honey locust
honey locust,honey locust,Honey locust,Locust,Illinois v2.0,
honeylocust,honeylocust,Honey locust,Locust,Illinois v2.0,
honey-locust,honey-locust,Locust,Locust,Illinois v2.0,
hony locust,hony locust,Honey locust,Locust,Illinois v2.0,
hoop ash,hoop ash,Other hardwood,Other hardwood,Illinois v2.0,
hoopash,hoopash,Other hardwood,Other hardwood,Illinois v2.0,
hoopwood,hoopwood,Other hardwood,Other hardwood,Illinois v2.0,
horn beam,horn beam,Ironwood,Ironwood,Illinois v2.0,
hornbeam,hornbeam,Hornbeam,Ironwood,Illinois v2.0,
h-symbol,h-symbol,Hickory,Hickory,Illinois v2.0,
hy,hy,Hickory,Hickory,Illinois v2.0,
iron wood,iron wood,Ironwood,Ironwood,Illinois v2.0,
iron wood birch,iron wood birch,Other hardwood,Other hardwood,Illinois v2.0,
ironwd,ironwd,Ironwood,Ironwood,Illinois v2.0,
ironwood,ironwood,Ironwood,Ironwood,Illinois v2.0,
iron-wood,iron-wood,Ironwood,Ironwood,Illinois v2.0,
j oak,j oak,Blackjack oak,Oak,Illinois v2.0,CVC level 2 jack oak and almost certainly  blackjack oak but this is several species depending on location 
jack,jack,Blackjack oak,Oak,Illinois v2.0,CVC level 2 jack oak and almost certainly  blackjack oak but this is several species depending on location
jack o,jack o,Blackjack oak,Oak,Illinois v2.0,CVC level 2 jack oak and almost certainly  blackjack oak but this is several species depending on location
jack oak,jack oak,Blackjack oak,Oak,Illinois v2.0,CVC level 2 jack oak and almost certainly  blackjack oak but this is several species depending on location
jo,jo,Blackjack oak,Oak,Illinois v2.0,
lin,lin,Lynn,Basswood,Illinois v2.0,Level 2 is lynn
lin tree,lin tree,Basswood,Basswood,Illinois v2.0,
linden,linden,Basswood,Basswood,Illinois v2.0,
linn,linn,Lynn,Basswood,Illinois v2.0,
locas,locas,Locust,Locust,Illinois v2.0,
locu,locu,Locust,Locust,Illinois v2.0,CVC Level 2 is locust, I doubt any of these are thorn
locus,locus,Locust,Locust,Illinois v2.0,CVC Level 2 is locust, I doubt any of these are thorn
locust,locust,Locust,Locust,Illinois v2.0,CVC Level 2 is locust, I doubt any of these are thorn
locust tree,locust tree,Locust,Locust,Illinois v2.0,
lonely p oak,lonely p oak,Oak,Oak,Illinois v2.0,
ly,ly,Basswood,Basswood,Illinois v2.0,
lyme,lyme,Lynn,Basswood,Illinois v2.0,CVC level 2 would be lynn
lyn,lyn,Lynn,Basswood,Illinois v2.0,CVC level 2 would be lynn
lynn,lynn,Lynn,Basswood,Illinois v2.0,CVC level 2 would be lynn
lynn tree,lynn tree,Basswood,Basswood,Illinois v2.0,
m oak,m oak,Oak,Oak,Illinois v2.0,
mapel,mapel,Maple,Maple,Illinois v2.0,
maple,maple,Maple,Maple,Illinois v2.0,
mapo,mapo,Maple,Maple,Illinois v2.0,
mapole,mapole,Maple,Maple,Illinois v2.0,
mayple,mayple,Maple,Maple,Illinois v2.0,
maypole,maypole,Maple,Maple,Illinois v2.0,
maypoll,maypoll,Maple,Maple,Illinois v2.0,
mul,mul,Mulberry,Mulberry,Illinois v2.0,
mulberry,mulberry,Mulberry,Mulberry,Illinois v2.0,
mulberry tree,mulberry tree,Mulberry,Mulberry,Illinois v2.0,
mulbery,mulbery,Mulberry,Mulberry,Illinois v2.0,
mulbury,mulbury,Mulberry,Mulberry,Illinois v2.0,
mulby,mulby,Mulberry,Mulberry,Illinois v2.0,
no data,no data,No data,No data,Illinois v2.0,
No data,No data,No data,No data,Illinois v2.0,
no tree,no tree,No tree,No tree,Illinois v2.0,
No tree,No tree,No tree,No tree,Illinois v2.0,
o cup oak,o cup oak,Overcup oak,Oak,Illinois v2.0,
o oak,o oak,Overcup oak,Oak,Illinois v2.0,
o. cup oak,o. cup oak,Overcup oak,Oak,Illinois v2.0,
o. oak,o. oak,Overcup oak,Oak,Illinois v2.0,
oak,oak,Oak,Oak,Illinois v2.0,
ocp oak,ocp oak,Overcup oak,Oak,Illinois v2.0,
ocup oak,ocup oak,Overcup oak,Oak,Illinois v2.0,
ok,ok,Oak,Oak,Illinois v2.0,
over cup,over cup,Overcup oak,Oak,Illinois v2.0,
over cup oak,over cup oak,Overcup oak,Oak,Illinois v2.0,
overcup,overcup,Overcup oak,Oak,Illinois v2.0,
overcup o,overcup o,Overcup oak,Oak,Illinois v2.0,
overcup oak,overcup oak,Overcup oak,Oak,Illinois v2.0,
p o,p o,Pin/post oak,Oak,Illinois v2.0,
p oak,p oak,Pin/post oak,Oak,Illinois v2.0,
p. oak,p. oak,Pin/post oak,Oak,Illinois v2.0,
p.o,p.o,Oak,Oak,Illinois v2.0,
p.o.,p.o.,Oak,Oak,Illinois v2.0,
paw paw,paw paw,Paw paw,Other hardwood,Illinois v2.0,
peach tree,peach tree,Peach,Other hardwood,Illinois v2.0,
pecan,pecan,Pecan,Other hardwood,Illinois v2.0,
pecon,pecon,Pecan,Other hardwood,Illinois v2.0,
percimon,percimon,Persimmon,Other hardwood,Illinois v2.0,
persemon,persemon,Persimmon,Other hardwood,Illinois v2.0,
persimin,persimin,Persimmon,Other hardwood,Illinois v2.0,
persimmen,persimmen,Persimmon,Other hardwood,Illinois v2.0,
persimmon,persimmon,Persimmon,Other hardwood,Illinois v2.0,
persimon,persimon,Persimmon,Other hardwood,Illinois v2.0,
persimon tree,persimon tree,Persimmon,Other hardwood,Illinois v2.0,
persinamon,persinamon,Persimmon,Other hardwood,Illinois v2.0,
persinomon,persinomon,Persimmon,Other hardwood,Illinois v2.0,
picann,picann,Pecan,Other hardwood,Illinois v2.0,
piecan,piecan,Pecan,Other hardwood,Illinois v2.0,
pin,pin,Pin Oak,Oak,Illinois v2.0,CVC undoubtably pin oak 
pin o,pin o,Pin Oak,Oak,Illinois v2.0,
pin o.,pin o.,Pin oak,Oak,Illinois v2.0,
pin oak,pin oak,Pin Oak,Oak,Illinois v2.0,
pin ok,pin ok,Pin oak,Oak,Illinois v2.0,
pine,pine,Pine,Pine,Illinois v2.0,
pissimon,pissimon,Persimmon,Other hardwood,Illinois v2.0,
plum,plum,Plum,Other hardwood,Illinois v2.0,
plumb,plumb,Plum,Other hardwood,Illinois v2.0,
plumb bush,plumb bush,Plum,Other hardwood,Illinois v2.0,
plumb tree,plumb tree,Plum,Other hardwood,Illinois v2.0,
po,po,Pin/post oak,Oak,Illinois v2.0,
po.,po.,Oak,Oak,Illinois v2.0,
pocon,pocon,Pecan,Other hardwood,Illinois v2.0,
poplar,poplar,Poplar/tulip poplar,Poplar/tulip poplar,Illinois v2.0,
popler,popler,Poplar,Poplar/tulip poplar,Illinois v2.0,
popplar,popplar,Poplar/tulip poplar,Poplar/tulip poplar,Illinois v2.0,
popple,popple,Poplar/tulip poplar,Poplar,Illinois v2.0,
possimmon,possimmon,Persimmon,Other hardwood,Illinois v2.0,
possimon,possimon,Persimmon,Other hardwood,Illinois v2.0,
post,post,Post oak,Oak,Illinois v2.0,
post o,post o,Post oak,Oak,Illinois v2.0,
post o.,post o.,Post oak,Oak,Illinois v2.0,
post oak,post oak,Post oak,Oak,Illinois v2.0,
post ok,post ok,Post oak,Oak,Illinois v2.0,
post oke,post oke,Post oak,Oak,Illinois v2.0,
precon,precon,Unknown tree,Unknown tree,Illinois v2.0,
presimen,presimen,Persimmon,Other hardwood,Illinois v2.0,
quakeing asp,quakeing asp,Aspen,Poplar,Illinois v2.0,note big tooth was not really recognized at this time so all go into aspen without any loss
quaking asp,quaking asp,Aspen,Poplar,Illinois v2.0,note big tooth was not really recognized at this time so all go into aspen without any loss
r bd,r bd,Red bud,Other hardwood,Illinois v2.0,
r bud,r bud,Red bud,Other hardwood,Illinois v2.0,
r elm,r elm,Red elm,Elm,Illinois v2.0,
r hickory,r hickory,Hickory,Hickory,Illinois v2.0,
r o,r o,Red oak,Oak,Illinois v2.0,
r oack,r oack,Red oak,Oak,Illinois v2.0,
r oak,r oak,Red oak,Oak,Illinois v2.0,
r ok,r ok,Red oak,Oak,Illinois v2.0,
r or b oak,r or b oak,Oak,Oak,Illinois v2.0,
r. ash,r. ash,Red ash,Ash,Illinois v2.0,
r. bud,r. bud,Red bud,Other hardwood,Illinois v2.0,
r. elm,r. elm,Elm,Elm,Illinois v2.0,
r. oak,r. oak,Red oak,Oak,Illinois v2.0,
r.o.,r.o.,Red oak,Oak,Illinois v2.0,
rd bud,rd bud,Red bud,Other hardwood,Illinois v2.0,
rd oak,rd oak,Red oak,Oak,Illinois v2.0,
red,red,Unknown tree,Unknown tree,Illinois v2.0,
red ash,red ash,Red ash,Ash,Illinois v2.0,
red bud,red bud,Red bud,Other hardwood,Illinois v2.0,
red elm,red elm,Elm,Elm,Illinois v2.0,
red haw,red haw,Red haw,Other hardwood,Illinois v2.0,
red o,red o,Red oak,Oak,Illinois v2.0,
red o.,red o.,Red oak,Oak,Illinois v2.0,
red oak,red oak,Red oak,Oak,Illinois v2.0,
red ok,red ok,Red oak,Oak,Illinois v2.0,
red pin oak,red pin oak,Oak,Oak,Illinois v2.0,
red. oak,red. oak,Red oak,Oak,Illinois v2.0,
redbud,redbud,Red bud,Other hardwood,Illinois v2.0,
ro,ro,Red oak,Oak,Illinois v2.0,
ro oak,ro oak,Red oak,Oak,Illinois v2.0,
ro: oak,ro: oak,Red oak,Oak,Illinois v2.0,
roak,roak,Red oak,Oak,Illinois v2.0,
s ash,s ash,Swamp ash,Ash,Illinois v2.0,
s elm,s elm,Elm,Elm,Illinois v2.0,
s gum,s gum,Sweet gum,Sweet gum,Illinois v2.0,
s maple,s maple,Maple,Maple,Illinois v2.0,
s oak,s oak,Spanish/swamp oak,Oak,Illinois v2.0,
